"model.code","state","band.code","value","dset_name","band","model","loss","lr","epoch","exp_id","pretrained","batch_size","metric","weight","thres","date"
"db","ny","band0",0.72678088367899,"plants_ny_2017",0,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_0","NONE",150,"zero_one_accuracy","nan",0.5,"2026-05-22"
"db","ny","band0",0.0183348361887586,"plants_ny_2017",0,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_0","NONE",150,"obs_top1","nan",0.5,"2026-05-22"
"db","ny","band0",0.00351376699369696,"plants_ny_2017",0,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_0","NONE",150,"species_top1","nan",0.5,"2026-05-22"
"db","ny","band0",0.0811541929666366,"plants_ny_2017",0,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_0","NONE",150,"obs_top5","nan",0.5,"2026-05-22"
"db","ny","band0",0.0191913815705264,"plants_ny_2017",0,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_0","NONE",150,"species_top5","nan",0.5,"2026-05-22"
"db","ny","band0",0.276825969341749,"plants_ny_2017",0,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_0","NONE",150,"obs_top30","nan",0.5,"2026-05-22"
"db","ny","band0",0.0886944830907596,"plants_ny_2017",0,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_0","NONE",150,"species_top30","nan",0.5,"2026-05-22"
"db","ny","band0",0.548542230237451,"plants_ny_2017",0,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_0","NONE",150,"obs_top100","nan",0.5,"2026-05-22"
"db","ny","band0",0.254545682967444,"plants_ny_2017",0,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_0","NONE",150,"species_top100","nan",0.5,"2026-05-22"
"db","ny","band0",0.695332601866546,"plants_ny_2017",0,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_0","NONE",150,"ROC_AUC","nan",NA,"2026-05-22"
"db","ny","band0",0.0342916412230807,"plants_ny_2017",0,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_0","NONE",150,"PRC_AUC","nan",NA,"2026-05-22"
"db","ny","band0",0.683501888084647,"plants_ny_2017",0,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_0","NONE",150,"calibrated_ROC_AUC","nan",NA,"2026-05-22"
"db","ny","band0",0.0640211298559094,"plants_ny_2017",0,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_0","NONE",150,"calibrated_PRC_AUC","nan",NA,"2026-05-22"
"db","ny","band1",0.0217319941745138,"plants_ny_2017",1,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_1","NONE",150,"precision_score","macro",0.5,"2026-05-22"
"db","ny","band1",0.0402675165865736,"plants_ny_2017",1,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_1","NONE",150,"precision_score","micro",0.5,"2026-05-22"
"db","ny","band1",0.0616776648533181,"plants_ny_2017",1,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_1","NONE",150,"precision_score","weighted",0.5,"2026-05-22"
"db","ny","band1",0.040070538157464,"plants_ny_2017",1,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_1","NONE",150,"precision_score","samples",0.5,"2026-05-22"
"db","ny","band1",0.454225725353734,"plants_ny_2017",1,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_1","NONE",150,"recall_score","macro",0.5,"2026-05-22"
"db","ny","band1",0.795523167567038,"plants_ny_2017",1,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_1","NONE",150,"recall_score","micro",0.5,"2026-05-22"
"db","ny","band1",0.795523167567038,"plants_ny_2017",1,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_1","NONE",150,"recall_score","weighted",0.5,"2026-05-22"
"db","ny","band1",0.808155908558002,"plants_ny_2017",1,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_1","NONE",150,"recall_score","samples",0.5,"2026-05-22"
"db","ny","band1",0.039395262226373,"plants_ny_2017",1,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_1","NONE",150,"f1_score","macro",0.5,"2026-05-22"
"db","ny","band1",0.0766549399325962,"plants_ny_2017",1,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_1","NONE",150,"f1_score","micro",0.5,"2026-05-22"
"db","ny","band1",0.111728241360879,"plants_ny_2017",1,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_1","NONE",150,"f1_score","weighted",0.5,"2026-05-22"
"db","ny","band1",0.0722112641519636,"plants_ny_2017",1,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_1","NONE",150,"f1_score","samples",0.5,"2026-05-22"
"db","ny","band1",0.0208450475635146,"plants_ny_2017",1,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_1","NONE",150,"jaccard_score","macro",0.5,"2026-05-22"
"db","ny","band1",0.0398550117314414,"plants_ny_2017",1,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_1","NONE",150,"jaccard_score","micro",0.5,"2026-05-22"
"db","ny","band1",0.0607114918407204,"plants_ny_2017",1,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_1","NONE",150,"jaccard_score","weighted",0.5,"2026-05-22"
"db","ny","band1",0.0391527551140097,"plants_ny_2017",1,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_1","NONE",150,"jaccard_score","samples",0.5,"2026-05-22"
"db","ny","band1",0.14752987238648,"plants_ny_2017",1,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_1","NONE",150,"label_ranking_average_precision_score","nan",NA,"2026-05-22"
"db","ny","band1",0.819048527028315,"plants_ny_2017",1,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_1","NONE",150,"zero_one_accuracy","nan",0.5,"2026-05-22"
"db","ny","band1",0.0270759843645724,"plants_ny_2017",1,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_1","NONE",150,"obs_top1","nan",0.5,"2026-05-22"
"db","ny","band1",0.00319385880987847,"plants_ny_2017",1,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_1","NONE",150,"species_top1","nan",0.5,"2026-05-22"
"db","ny","band1",0.105443798264849,"plants_ny_2017",1,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_1","NONE",150,"obs_top5","nan",0.5,"2026-05-22"
"db","ny","band1",0.0146276954358494,"plants_ny_2017",1,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_1","NONE",150,"species_top5","nan",0.5,"2026-05-22"
"db","ny","band1",0.351511106873868,"plants_ny_2017",1,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_1","NONE",150,"obs_top30","nan",0.5,"2026-05-22"
"db","ny","band1",0.0859576476023047,"plants_ny_2017",1,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_1","NONE",150,"species_top30","nan",0.5,"2026-05-22"
"db","ny","band1",0.628277242825818,"plants_ny_2017",1,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_1","NONE",150,"obs_top100","nan",0.5,"2026-05-22"
"db","ny","band1",0.24436062496508,"plants_ny_2017",1,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_1","NONE",150,"species_top100","nan",0.5,"2026-05-22"
"db","ny","band1",0.71347719834054,"plants_ny_2017",1,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_1","NONE",150,"ROC_AUC","nan",NA,"2026-05-22"
"db","ny","band1",0.0233357709992337,"plants_ny_2017",1,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_1","NONE",150,"PRC_AUC","nan",NA,"2026-05-22"
"db","ny","band1",0.703029342736147,"plants_ny_2017",1,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_1","NONE",150,"calibrated_ROC_AUC","nan",NA,"2026-05-22"
"db","ny","band1",0.0359192314722566,"plants_ny_2017",1,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_1","NONE",150,"calibrated_PRC_AUC","nan",NA,"2026-05-22"
"db","ny","band2",0.0284993114469676,"plants_ny_2017",2,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_2","NONE",150,"precision_score","macro",0.5,"2026-05-22"
"db","ny","band2",0.0520459358773695,"plants_ny_2017",2,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_2","NONE",150,"precision_score","micro",0.5,"2026-05-22"
"db","ny","band2",0.0700402954468115,"plants_ny_2017",2,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_2","NONE",150,"precision_score","weighted",0.5,"2026-05-22"
"db","ny","band2",0.051696433159069,"plants_ny_2017",2,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_2","NONE",150,"precision_score","samples",0.5,"2026-05-22"
"db","ny","band2",0.388335713591163,"plants_ny_2017",2,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_2","NONE",150,"recall_score","macro",0.5,"2026-05-22"
